master_pc_id,name,element,ex_abilities_count,has_ex,has_attribute_unbound
150361,Velzard,Fire,2,True,True
150364,Rimuru Tempest,Holy,2,True,True
140366,Soka,Holy,2,True,True
150363,Milim Nava,Holy,2,True,True
150367,Luminus Valentine,Holy,2,True,True
150373,Shion,Air,2,True,True
140375,Suphia,Air,2,True,False
150376,Shinsha,Air,2,True,False
150382,Yuuki Kagurazaka,Air,2,True,True
150377,Hinata Sakaguchi,Wind,2,True,True
150371,Myulan,Earth,2,True,False
150372,Youm,Holy,2,True,False
150378,Rimuru Tempest,Water,2,True,True
150380,Gobta,Water,2,True,True
150381,Albis,Dark,2,True,False
150383,Milim Nava,Water,2,True,True
150385,Gabiru,Wind,2,True,False
150386,Shizue Izawa,Wind,2,True,False
150394,Masked Hero,Holy,2,True,True
150407,Megumin,Fire,2,True,False
150408,Aqua,Water,2,True,False
150409,Kazuma,Water,2,True,False
150410,Darkness,Holy,2,True,False
150388,Guy Crimson,Earth,2,True,False
150389,Luminus Valentine,Air,2,True,True
150391,Shion,Dark,2,True,True
150392,Violet,Air,2,True,True
150393,Rimuru Tempest,Earth,2,True,True
150402,Shuna,Holy,2,True,True
150404,Trya,Fire,2,True,False
150405,Soka,Wind,2,True,True
150406,Rain,Water,2,True,False
150412,Shizue Izawa,Fire,2,True,False
150413,Milim Nava,Dark,2,True,True
150415,Ramiris,Holy,2,True,False
150416,Luminus Valentine,Fire,2,True,True
150417,Hinata Sakaguchi,Dark,2,True,True
150433,Rimuru Tempest,Air,2,True,True
150435,Youm,Holy,2,True,False
150436,Shuna,Wind,2,True,True
150437,Veldora Tempest,Holy,2,True,False
150438,Shinsha,Water,2,True,False
150440,Ranga,Dark,2,True,False
150441,Hinata Sakaguchi,Water,2,True,True
150442,Shizue Izawa,Air,2,True,False
150450,Cliche,Air,2,True,False
150443,Rimuru Tempest,Dark,2,True,True
150445,Violet,Air,2,True,True
150446,Blanc,Holy,2,True,True
150447,Jaune,Air,2,True,True
150451,Mirai Kasuga,Earth,2,True,False
150453,Tsubasa Ibuki,Holy,2,True,False
150455,Shizuka Mogami,Water,2,True,False
150429,Shuna,Fire,2,True,True
150456,Rimuru Tempest,Holy,2,True,True
150458,Diablo,Dark,2,True,True
150459,Milim Nava,Wind,2,True,True
150461,Shinsha,Water,2,True,False
150462,Ainz Ooal Gown,Dark,2,True,False
150464,Narberal Gamma,Holy,2,True,False
150465,Albedo,Air,2,True,False
150466,Shizue Izawa,Wind,2,True,False
150467,Shalltear Bloodfallen,Dark,2,True,False
150471,Shuna,Wind,2,True,True
150473,Gobta,Wind,2,True,True
150475,Benimaru,Dark,2,True,True
150474,Rimuru Tempest,Fire,2,True,True
150477,Diablo,Air,2,True,True
150479,Misery,Wind,2,True,False
150480,Jaune,Earth,2,True,True
150481,Blanc,Air,2,True,True
150485,Milim Nava,Wind,2,True,True
150486,Guy Crimson,Air,2,True,False
150488,Veldora Tempest,Earth,2,True,False
150489,Rimuru Tempest,Holy,2,True,True
150490,Masked Hero,Wind,2,True,True
150492,Hinata Sakaguchi,Holy,2,True,True
150500,Glenda Attley,Air,2,True,False
150498,Shizue Izawa,Fire,2,True,False
150499,Diablo,Dark,2,True,True
150530,Clayman,Dark,2,True,False
150532,Tear,Water,2,True,False
150501,Luminus Valentine,Fire,2,True,True
150058,Rigur,Fire,2,True,False
150503,Elmesia El Ru Thalion,Earth,2,True,False
150533,Rimuru Tempest,Earth,2,True,True
150504,Momiji,Fire,2,True,True
150506,Hakurou,Wind,2,True,False
150508,Souei,Dark,2,True,False
150507,Shuna,Fire,2,True,True
150510,Rimuru Tempest,Water,2,True,True
150513,Geld,Wind,2,True,False
150514,Hinata Sakaguchi,Dark,2,True,True
150515,Shion,Water,2,True,True
150483,Shinsha,Holy,2,True,False
150484,Cliche,Fire,2,True,False
150521,Milim Nava,EnhancedDark,2,True,True
150529,Izis,EnhancedAir,2,True,True
150534,Kokuyo,EnhancedDark,2,True,True
150522,Diablo,EnhancedDark,2,True,True
150523,Rimuru Tempest,EnhancedAir,2,True,True
150526,Gazel Dwargo,Earth,2,True,False
150527,Masked Hero,EnhancedHoly,2,True,True
150528,Blanc,EnhancedAir,2,True,True
150535,Momiji,EnhancedEarth,2,True,True
150538,Ritus,Water,2,True,False
150539,Maribel Rozzo,EnhancedWater,2,True,True
150540,Violet,EnhancedFire,2,True,True
150551,Frieren,EnhancedHoly,2,True,True
150552,Fern,EnhancedHoly,2,True,True
150553,Stark,Earth,2,True,False
150554,Rimuru Tempest,EnhancedAir,2,True,True
150546,Luminus Valentine,EnhancedWind,2,True,True
150547,Shinsha,Air,2,True,False
150549,Rimuru Tempest,EnhancedWater,2,True,True
150550,Gobta,EnhancedWind,2,True,True
150562,Hinata Sakaguchi,EnhancedHoly,2,True,True
150563,Shizue Izawa,Fire,2,True,False
150564,Yuuki Kagurazaka,EnhancedWind,2,True,True
150565,Frey,EnhancedWater,2,True,True
150569,Gobwa,EnhancedDark,2,True,True
150568,Shion,Fire,2,True,True
150570,Violet,EnhancedFire,2,True,True
150571,Blanc,EnhancedDark,2,True,True
150574,Leon Cromwell,EnhancedEarth,2,True,True
150575,Velzard,EnhancedWater,2,True,True
150576,Ritus,Holy,2,True,False
150577,Jaune,EnhancedAir,2,True,True
150578,Rimuru Tempest,EnhancedEarth,2,True,True
150582,Soka,EnhancedAir,2,True,True
150581,Laplace,Dark,2,True,False
150583,Luminus Valentine,EnhancedHoly,2,True,True
150584,Diablo,EnhancedAir,2,True,True
150587,Shionne,EnhancedFire,2,True,True
150588,Alphen,Fire,2,True,False
150589,Shion,EnhancedHoly,2,True,True
150590,Hinata Sakaguchi,EnhancedDark,2,True,True
150594,Blanc,EnhancedWater,2,True,True
150593,Ifrit,Fire,2,True,False
150595,Violet,EnhancedWater,2,True,True
150596,Jaune,EnhancedDark,2,True,True
150599,Bell Cranel,EnhancedHoly,2,True,True
150598,Shuna,EnhancedEarth,2,True,True
150603,Soka,Water,2,True,True
150601,Ais Wallenstein,EnhancedWind,2,True,True
150602,Ryu Lion,EnhancedWind,2,True,True
150610,Masayuki Honjo,EnhancedHoly,2,True,True
150608,Kagali,Dark,2,True,False
150611,Masked Hero,EnhancedDark,2,True,True
150612,Luminus Valentine,EnhancedHoly,2,True,True
150619,Emils,EnhancedWater,2,True,True
150615,Trishula,Air,2,True,False
150613,Rimuru Tempest,EnhancedAir,2,True,True
150617,Velzard,EnhancedAir,2,True,True
150618,Milim Nava,EnhancedWater,2,True,True
150623,Frey,EnhancedWater,2,True,True
150621,Nine Head,Earth,2,True,False
150624,Hinata Sakaguchi,EnhancedAir,2,True,True
150625,Blanc,EnhancedEarth,2,True,True
150629,Kirito,EnhancedAir,2,True,True
150628,Masayuki Honjo,Holy,2,True,True
150630,Asuna,EnhancedHoly,2,True,True
150631,Sinon,EnhancedHoly,2,True,True
150632,Yuuki,EnhancedAir,2,True,True
150636,Benimaru,EnhancedFire,2,True,True
150635,Clayman,Dark,2,True,False
150637,Hiiro,EnhancedFire,2,True,True
150638,Violet,EnhancedWater,2,True,True
150643,Luminus Valentine,EnhancedWater,2,True,True
150641,Gobta,Wind,2,True,True
150642,Rimuru Tempest,EnhancedDark,2,True,True
150644,Jaune,EnhancedWater,2,True,True
150648,Diablo,EnhancedWind,2,True,True
150649,Saare,Air,2,True,False
250001,Orc Disaster,Dark,0,False,False
250002,Veldora Tempest,Wind,0,False,False
250003,Ifrit,Fire,0,False,False
250007,Milim Nava,Water,0,False,True
250004,Charybdis,Air,0,False,False
250006,Elemental Colossus,Earth,0,False,False
250005,Ramiris,Holy,0,False,False
240001,Kaijin,Earth,0,False,False
240005,Veldora Tempest,Water,0,False,False
240006,Gard Mjolmire,Water,0,False,False
240003,Salamander,Fire,0,False,False
240007,Fuze,Wind,0,False,False
240004,Vesta,Air,0,False,False
240002,Sky Dragon,Dark,0,False,False
240008,Light Spirit,Holy,0,False,False
230001,Butterflies of the Night Owner,Physics,0,False,False
230002,Psychic Elf,Magic,0,False,False
230003,Garm,Physics,0,False,False
230004,Dord,Magic,0,False,False
230005,Myrd,Magic,0,False,False
230006,Haruna,Physics,0,False,False
230007,Gobuichi,Physics,0,False,False
250009,Shion,Dark,0,False,True
250014,Shuna,Wind,0,False,True
250013,Rimuru Tempest,Fire,0,False,True
250256,Soka,Holy,0,False,True
250264,Chloe Aubert,Water,0,False,False
250017,Hakurou,Earth,0,False,False
250291,Veldora Tempest,Air,0,False,False
250016,Rimuru Tempest,Dark,0,False,True
250298,Shizue Izawa,Holy,0,False,False
250219,Gabiru,Wind,0,False,False
250011,Milim Nava,Water,0,False,True
250318,Guy Crimson,Air,0,False,False
250329,Benimaru,Earth,0,False,True
250335,Veldora Tempest,Dark,0,False,False
250347,Towa,Fire,0,False,False
250365,Shuna,Holy,0,False,True
250374,Ramiris,Air,0,False,False
240396,Chloe Aubert,SpecialEffectElementWater,0,False,False
250379,Diablo,SpecialEffectElementWater,0,False,True
250384,Frey,SpecialEffectElementFire,0,False,True
240419,Souei,SpecialEffectElementFire,0,False,False
250401,Rimuru Tempest,None,0,False,True
250390,Velzard,SpecialEffectElementAir,0,False,True
240420,Deeno,SpecialEffectElementAir,0,False,False
250403,Myulan,SpecialEffectElementDark,0,False,False
240421,Eren,SpecialEffectElementDark,0,False,False
250411,Rimuru Tempest,SpecialEffectElementEarth,0,False,True
240418,Shuna,SpecialEffectElementEarth,0,False,True
250414,Treyni,SpecialEffectElementHoly,0,False,False
240430,Rimuru Tempest,SpecialEffectElementHoly,0,False,True
250434,Velzard,SpecialEffectElementWater,0,False,True
240431,Albis,SpecialEffectElementWater,0,False,False
250439,Milim Nava,SpecialEffectElementFire,0,False,True
240432,Rigurd,SpecialEffectElementFire,0,False,False
250444,Luminus Valentine,SpecialEffectElementWind,0,False,True
240449,Rimuru Tempest,SpecialEffectElementWind,0,False,True
250452,Rimuru Tempest,SpecialEffectElementAir,0,False,True
240454,Chloe Aubert,SpecialEffectElementAir,0,False,False
250457,Shion,SpecialEffectElementDark,0,False,True
240460,Benimaru,SpecialEffectElementDark,0,False,True
250463,Rimuru Tempest,SpecialEffectElementHoly,0,False,True
240470,Gabiru,SpecialEffectElementHoly,0,False,False
250472,Treyni,SpecialEffectElementEarth,0,False,False
240476,Soka,SpecialEffectElementEarth,0,False,True
250478,Violet,SpecialEffectElementWind,0,False,True
240482,Rain,SpecialEffectElementWind,0,False,False
250487,Velzard,SpecialEffectElementWater,0,False,True
240491,Kagali,SpecialEffectElementWater,0,False,False
250493,Renard Jester,SpecialEffectElementHoly,0,False,False
240497,Shion,SpecialEffectElementHoly,0,False,True
250502,Maribel Rozzo,SpecialEffectElementAir,0,False,True
240518,Ritus,SpecialEffectElementAir,0,False,False
250505,Benimaru,SpecialEffectElementEarth,0,False,True
240509,Albis,SpecialEffectElementEarth,0,False,False
250511,Masayuki Honjo,SpecialEffectElementFire,0,False,True
240512,Frey,SpecialEffectElementFire,0,False,True
250517,Emils,SpecialEffectElementDark,0,False,True
240542,Izis,SpecialEffectElementDark,0,False,True
250520,Guy Crimson,SpecialEffectElementEnhancedHoly,0,False,False
250524,Elmesia El Ru Thalion,SpecialEffectElementEnhancedWind,0,False,False
240525,Towa,SpecialEffectElementWind,0,False,False
250536,Albis,SpecialEffectElementEnhancedEarth,0,False,False
240537,Alice Rondo,SpecialEffectElementEarth,0,False,False
250555,Himmel,SpecialEffectElementEnhancedDark,0,False,False
240556,Milim Nava,SpecialEffectElementDark,0,False,True
250545,Veldora Tempest,SpecialEffectElementEnhancedWater,0,False,False
240548,Jiwu,SpecialEffectElementWater,0,False,False
250560,Masayuki Honjo,SpecialEffectElementEnhancedFire,0,False,True
240561,Carrion,SpecialEffectElementFire,0,False,False
250566,Shuna,SpecialEffectElementEnhancedHoly,0,False,True
240567,Treyni,SpecialEffectElementHoly,0,False,False
250573,Masked Hero,SpecialEffectElementEnhancedAir,0,False,True
240572,Ramiris,SpecialEffectElementAir,0,False,False
250579,Souei,SpecialEffectElementEnhancedWind,0,False,False
240580,Gabiru,SpecialEffectElementWind,0,False,False
250585,Rimuru Tempest,SpecialEffectElementEnhancedEarth,0,False,True
240586,Veldora Tempest,SpecialEffectElementEarth,0,False,False
250591,Guy Crimson,SpecialEffectElementEnhancedHoly,0,False,False
240592,Deeno,SpecialEffectElementHoly,0,False,False
250597,Hestia,SpecialEffectElementEnhancedWater,0,False,False
240600,Liliruca Arde,SpecialEffectElementWater,0,False,False
250607,Elmesia El Ru Thalion,SpecialEffectElementEnhancedDark,0,False,False
240609,Eren,SpecialEffectElementDark,0,False,False
250616,Veldora Tempest,SpecialEffectElementEnhancedFire,0,False,False
240614,Shinsha,SpecialEffectElementFire,0,False,False
250620,Diablo,SpecialEffectElementEnhancedAir,0,False,True
240622,Ranga,SpecialEffectElementAir,0,False,False
250626,Rimuru Tempest,SpecialEffectElementEnhancedWind,0,False,True
240627,Leafa,SpecialEffectElementWind,0,False,False
250633,Shion,SpecialEffectElementEnhancedEarth,0,False,True
240634,Towa,SpecialEffectElementEarth,0,False,False
250639,Yura,SpecialEffectElementEnhancedFire,0,False,False
240640,Hakurou,SpecialEffectElementFire,0,False,False
240645,Rimuru Tempest,None,0,False,True
250646,Shizue Izawa,SpecialEffectElementEnhancedWater,0,False,False
240647,Rimuru Tempest,SpecialEffectElementWater,0,False,True
